k, c, x, y
100, 1, 1, 1
100, 2, 3, 2
100, 3, 6, 3
100, 4, 10, 4
100, 5, 15, 5
100, 6, 21, 6
100, 7, 28, 7
100, 8, 36, 8
100, 9, 45, 9
100, 10, 55, 10
100, 11, 66, 11
100, 12, 78, 12
100, 13, 91, 13
100, 14, 105, 14
100, 15, 120, 15
100, 16, 136, 16
100, 17, 153, 17
100, 18, 171, 18
100, 19, 190, 19
100, 20, 210, 20
100, 21, 231, 21
100, 22, 253, 22
100, 23, 276, 23
100, 24, 300, 24
100, 25, 325, 25
100, 26, 351, 26
100, 27, 378, 27
100, 28, 406, 28
100, 29, 435, 29
100, 30, 465, 30
100, 31, 496, 31
100, 32, 528, 32
100, 33, 561, 33
100, 34, 595, 34
100, 35, 630, 35
100, 36, 666, 36
100, 37, 703, 37
100, 38, 741, 38
100, 39, 780, 39
100, 40, 820, 40
100, 41, 861, 41
100, 42, 903, 42
100, 43, 946, 43
100, 44, 990, 44
100, 45, 1035, 45
100, 46, 1081, 46
100, 47, 1128, 47
100, 48, 1176, 48
100, 49, 1225, 49
100, 50, 1275, 50
100, 51, 1326, 51
100, 52, 1378, 52
100, 53, 1431, 53
100, 54, 1485, 54
100, 55, 1540, 55
100, 56, 1596, 56
100, 57, 1653, 57
100, 58, 1711, 58
100, 59, 1770, 59
100, 60, 1830, 60
100, 61, 1891, 61
100, 62, 1953, 62
100, 63, 2016, 63
100, 64, 2080, 64
100, 65, 2145, 65
100, 66, 2211, 66
100, 67, 2278, 67
100, 68, 2346, 68
100, 69, 2415, 69
100, 70, 2485, 70
100, 71, 2556, 71
100, 72, 2628, 72
100, 73, 2701, 73
100, 74, 2775, 74
100, 75, 2850, 75
100, 76, 2926, 76
100, 77, 3003, 77
100, 78, 3081, 78
100, 79, 3160, 79
100, 80, 3240, 80
100, 81, 3321, 81
100, 82, 3403, 82
100, 83, 3486, 83
100, 84, 3570, 84
100, 85, 3655, 85
100, 86, 3741, 86
100, 87, 3828, 87
100, 88, 3916, 88
100, 89, 4005, 89
100, 90, 4095, 90
100, 91, 4186, 91
100, 92, 4278, 92
100, 93, 4371, 93
100, 94, 4465, 94
100, 95, 4560, 95
100, 96, 4656, 96
100, 97, 4753, 97
100, 98, 4851, 98
100, 99, 4950, 99
100, 100, 5050, 100
